-50000,29,34,248,18,11
-49947,33,35,247,22,9
-49940,38,48,243,10,20
-49909,60,47,244,18,11
-49824,28,40,243,8,25
-49822,9,30,245,8,25
-49743,51,35,249,13,15
-49697,31,36,246,11,18
-49671,44,36,245,39,5
-49502,5,32,248,22,9
-49493,45,46,240,25,8
-49440,22,31,243,10,20
-49350,22,31,243,20,10
-49323,58,33,242,18,11
-49236,36,46,249,32,6
-49149,3,33,238,12,17
-49094,30,40,243,18,11
-48984,9,46,249,8,24
-48979,48,45,247,38,5
-48846,33,30,235,12,17
-48834,9,31,244,5,39
-48751,4,39,244,22,9
-48687,40,39,244,15,13
-48516,51,30,238,22,9
-48457,8,35,246,39,5
-48420,30,43,243,13,15
-48296,56,30,245,16,12
-48212,21,32,248,4,47
-48173,8,31,241,22,9
-48148,40,38,237,22,9
-48106,15,34,249,10,19
-48009,38,41,244,38,5
-47967,18,39,242,15,13
-47940,59,33,244,27,7
-47893,41,33,243,38,5
-47859,44,49,246,21,9
-47774,22,37,244,32,6
-47680,20,36,243,8,24
-47596,8,32,245,4,47
-47584,25,34,236,22,9
-47572,6,46,239,14,14
-47476,60,35,249,23,8
-47430,32,39,232,20,10
-47350,22,31,233,20,10
-47290,5,32,233,10,20
-47117,28,35,244,27,7
-47042,59,30,235,13,15
-47026,26,34,235,28,7
-46980,59,36,238,12,16
-46965,20,32,249,37,5
-46895,17,40,248,31,6
-46809,28,30,243,9,21
-46706,4,31,246,4,46
-46662,23,34,234,14,14
-46562,2,31,249,31,6
-46476,28,37,249,7,26
-46464,41,35,240,9,21
-46458,34,31,244,4,46
-46418,43,41,232,15,13
-46352,42,32,243,4,46
-46229,22,35,242,6,31
-46135,60,33,244,8,23
-46080,32,33,245,23,8
-46003,58,35,243,36,5
-45924,57,31,236,37,5
-45911,3,31,249,3,59
-45881,59,30,234,19,10
-45800,48,37,231,24,8
-45746,21,34,249,36,5
-45720,32,34,243,23,8
-45712,17,35,233,8,24
-45709,60,41,241,26,7
-45673,32,37,235,10,19
-45632,42,34,231,24,8
-45594,26,32,249,15,12
-45574,31,30,245,4,45
-45541,2,40,241,17,11
-45480,19,32,237,21,9
-45426,15,34,249,20,9
-45329,59,37,239,36,5
-45282,60,32,239,26,7
-45199,44,46,235,17,11
-45142,40,32,235,31,6
-45069,11,36,242,23,8
-44974,31,31,236,4,46
-44875,6,37,239,8,23
-44855,8,32,235,27,7
-44817,28,36,235,17,11
-44748,12,33,230,16,12
-44713,7,31,233,19,10
-44642,54,36,247,11,16
-44584,36,30,245,4,44
-44530,7,30,231,10,19
-44445,55,32,246,5,35
-44346,23,30,248,16,11
-44335,25,31,238,4,45
-44247,26,36,233,37,5
-44241,3,31,243,12,15
-44189,3,41,238,23,8
-44170,9,30,229,10,19
-44024,9,32,249,25,7
-43927,12,46,229,27,7
-43902,7,33,245,8,22
-43855,2,30,231,5,37
-43774,16,32,237,14,13
-43731,46,33,242,25,7
-43713,46,35,242,16,11
-43703,40,47,236,20,9
-43586,25,38,243,16,11
-43527,51,32,234,5,36
-43501,34,35,243,6,29
-43407,26,35,234,14,13
-43385,34,31,243,6,29
-43358,6,35,233,7,26
-43343,45,38,240,11,16
-43312,48,32,237,4,44
-43251,60,33,241,6,29
-43184,56,30,237,22,8
-43137,37,45,230,26,7
-43116,44,36,231,30,6
-43086,29,46,233,30,6
-43041,36,35,230,26,7
-43010,56,47,245,28,6
-42912,27,33,232,6,30
-42830,36,47,223,17,11
-42760,56,35,229,5,36
-42663,37,34,237,11,16
-42603,18,32,221,9,21
-42532,32,32,229,5,36
-42522,54,31,223,23,8
-42507,28,30,223,17,11
-42437,44,39,227,14,13
-42363,28,33,237,6,29
-42264,32,30,241,3,56
-42208,33,32,227,36,5
-42153,6,35,244,19,9
-42150,6,31,243,4,42
-42088,2,33,248,14,12
-42020,41,32,231,35,5
-41984,8,31,243,19,9
-41911,41,30,233,29,6
-41849,7,34,234,7,25
-41820,55,32,226,12,15
-41784,39,32,233,3,57
-41702,22,31,244,21,8
-41696,35,37,226,10,18
-41695,36,37,230,35,5
-41612,36,35,231,11,16
-41530,11,30,228,20,9
-41522,29,32,226,18,10
-41489,57,34,244,15,11
-41445,11,35,227,15,12
-41414,50,31,235,19,9
-41354,43,34,241,33,5
-41317,25,32,246,15,11
-41226,34,33,224,15,12
-41219,4,31,227,20,9
-41126,27,32,224,18,10
-41044,38,30,239,14,12
-40955,23,31,221,13,14
-40869,27,34,247,9,18
-40821,22,30,237,3,55
-40807,58,39,234,13,13
-40799,47,39,233,17,10
-40739,32,32,233,9,19
-40712,29,31,240,33,5
-40652,18,31,245,3,53
-40586,5,32,222,10,18
-40550,25,30,221,20,9
-40541,42,43,236,33,5
-40443,20,36,235,13,13
-40373,60,31,215,14,13
-40290,38,33,237,3,54
-40249,44,31,232,24,7
-40177,8,36,227,25,7
-40128,34,31,245,20,8
-40076,7,32,248,20,8
-39991,24,49,229,34,5
-39905,31,34,223,29,6
-39896,20,31,245,10,16
-39881,21,33,242,5,32
-39800,33,30,214,14,13
-39735,46,30,217,35,5
-39677,34,33,215,20,9
-39603,32,33,221,6,29
-39505,22,30,227,19,9
-39461,48,32,219,7,25
-39426,27,32,247,26,6
-39422,51,32,240,10,16
-39328,5,31,232,5,33
-39262,13,32,220,22,8
-39222,14,36,247,39,4
-39122,7,31,220,22,8
-39087,13,30,238,27,6
-38995,35,31,217,7,25
-38911,51,33,235,5,32
-38827,55,30,232,23,7
-38742,20,49,234,27,6
-38668,18,34,223,10,17
-38568,54,32,223,8,21
-38492,20,33,249,19,8
-38466,36,31,214,29,6
-38446,23,30,224,8,21
-38434,16,31,225,28,6
-38346,27,33,226,33,5
-38280,56,30,243,30,5
-38270,11,30,221,19,9
-38255,43,33,247,5,30
-38234,24,31,218,5,34
-38178,27,30,239,3,51
-38146,49,31,216,19,9
-38106,24,32,229,6,27
-38070,55,30,226,32,5
-37987,3,38,243,11,14
-37986,47,33,216,9,19
-37931,7,40,223,21,8
-37915,17,31,214,29,6
-37858,27,31,210,8,22
-37831,30,41,240,14,11
-37783,7,34,239,13,12
-37753,49,31,233,4,39
-37677,36,33,236,12,13
-37579,48,38,217,33,5
-37510,28,32,245,10,15
-37418,42,31,216,21,8
-37386,54,30,233,12,13
-37294,22,30,231,4,39
-37202,37,32,227,10,16
-37172,52,31,219,11,15
-37098,32,30,215,24,7
-37027,21,39,226,32,5
-36952,4,30,227,8,20
-36856,15,48,235,22,7
-36778,40,31,209,19,9
-36719,38,31,214,33,5
-36654,4,30,235,11,14
-36607,6,49,215,24,7
-36601,42,47,212,33,5
-36581,25,31,229,5,31
-36527,27,39,229,31,5
-36450,56,32,217,18,9
-36374,43,32,230,14,11
-36370,14,31,239,15,10
-36301,8,37,229,12,13
-36261,17,32,226,3,51
-36219,53,30,208,33,5
-36201,15,33,233,17,9
-36176,31,32,221,16,10
-36169,23,32,230,3,50
-36105,8,33,238,30,5
-36082,21,30,212,4,41
-36079,10,31,212,4,41
-36070,6,35,249,13,11
-36018,56,30,229,3,50
-35997,34,31,208,13,13
-35978,11,36,233,38,4
-35917,32,31,233,6,25
-35869,17,33,249,5,28
-35866,47,32,207,33,5
-35834,60,30,233,4,37
-35812,12,31,219,3,52
-35737,12,33,208,13,13
-35692,24,31,218,3,52
-35686,10,30,221,4,39
-35660,42,34,225,4,38
-35625,31,30,242,3,47
-35567,8,32,237,7,21
-35519,53,31,242,28,5
-35429,38,34,209,15,11
-35383,48,44,211,23,7
-35319,2,30,215,7,23
-35276,51,31,219,6,26
-35182,51,32,245,34,4
-35160,50,30,211,4,40
-35068,19,32,235,4,36
-35031,7,30,210,33,5
-34979,2,34,233,7,21
-34944,9,30,233,7,21
-34882,11,30,225,17,9
-34788,31,30,233,36,4
-34766,9,34,224,8,19
-34749,37,30,241,3,46
-34713,18,32,223,17,9
-34669,17,32,221,11,14
-34616,46,31,200,14,12
-34533,49,31,206,18,9
-34490,41,30,210,10,16
-34478,46,31,233,8,18
-34474,39,30,221,8,19
-34441,55,32,249,3,44
-34414,49,34,214,12,13
-34383,14,35,211,32,5
-34303,39,34,232,9,16
-34282,25,32,235,13,11
-34258,2,31,237,13,11
-34231,57,31,222,4,37
-34137,43,30,205,9,18
-34082,45,32,207,10,16
-34012,5,31,216,26,6
-34008,7,31,233,12,12
-33909,38,31,240,3,45
-33841,45,37,244,33,4
-33775,32,30,231,11,13
-33693,24,37,229,16,9
-33635,23,32,224,21,7
-33571,40,31,218,4,37
-33545,41,32,202,7,23
-33519,52,30,245,7,19
-33443,11,32,211,13,12
-33358,53,34,229,20,7
-33343,17,32,233,35,4
-33282,20,30,201,9,18
-33193,33,31,225,9,16
-33150,21,30,197,15,11
-33102,54,31,199,5,32
-33039,46,33,197,18,9
-33011,20,33,210,22,7
-32922,52,30,197,9,18
-32828,39,33,247,4,32
-32746,10,31,245,22,6
-32744,46,32,201,26,6
-32661,55,32,195,9,18
-32637,27,33,193,11,15
-32632,25,33,228,10,14
-32563,54,31,202,12,13
-32467,41,33,227,23,6
-32449,46,31,216,5,29
-32434,11,30,209,17,9
-32342,27,34,221,11,13
-32289,14,31,216,5,29
-32229,9,30,241,33,4
-32225,36,30,215,5,29
-32223,47,32,232,9,15
-32217,10,31,222,13,11
-32133,37,31,222,5,28
-32105,6,35,243,10,13
-32024,30,33,227,34,4
-32023,39,31,237,3,43
-31973,28,31,205,8,19
-31921,19,30,248,7,18
-31887,57,31,234,11,12
-31879,7,34,210,25,6
-31869,56,30,229,9,15
-31799,22,31,230,27,5
-31797,40,33,198,12,13
-31741,46,37,213,16,9
-31676,42,31,192,8,20
-31616,48,31,219,7,20
-31566,45,31,196,5,31
-31562,18,31,213,29,5
-31560,34,30,205,15,10
-31491,32,30,215,13,11
-31474,39,34,195,5,31
-31435,59,30,222,17,8
-31370,26,37,243,9,14
-31357,17,31,220,20,7
-31337,24,32,195,5,31
-31263,56,31,211,28,5
-31246,56,31,210,8,18
-31164,41,32,242,4,31
-31069,52,33,210,13,11
-30985,20,30,207,5,29
-30945,48,31,200,10,15
-30914,4,31,222,23,6
-30888,7,30,225,9,15
-30798,31,30,228,12,11
-30774,25,30,227,6,22
-30687,36,35,236,6,21
-30673,59,33,211,23,6
-30664,28,32,221,3,44
-30646,10,30,221,8,17
-30601,21,31,198,6,25
-30560,39,30,232,16,8
-30533,9,34,193,7,22
-30501,4,31,210,4,35
-30439,34,31,197,4,37
-30354,2,33,207,9,16
-30287,9,31,241,31,4
-30232,24,31,205,9,16
-30199,23,31,193,17,9
-30194,8,30,213,28,5
-30169,19,31,235,18,7
-30077,43,31,215,5,27
-29979,55,35,237,39,3
-29886,34,30,205,4,35
-29862,22,31,215,17,8
-29800,49,30,226,8,16
-29730,57,30,241,38,3
-29665,21,32,230,3,41
-29565,30,31,192,10,15
-29556,41,30,218,26,5
-29524,59,30,198,8,18
-29435,12,30,229,5,25
-29355,47,30,189,15,10
-29313,9,32,214,15,9
-29300,41,30,225,25,5
-29263,16,33,216,19,7
-29198,30,30,227,4,31
-29110,19,30,216,22,6
-29095,55,30,216,13,10
-29038,3,32,186,14,11
-28975,54,31,206,8,17
-28971,31,32,183,11,14
-28896,11,32,222,32,4
-28895,26,30,237,7,17
-28846,9,30,203,14,10
-28817,54,37,194,11,13
-28813,36,31,242,23,5
-28790,39,32,201,34,4
-28709,60,30,193,13,11
-28615,15,31,185,6,25
-28536,33,30,232,12,10
-28523,52,31,226,24,5
-28510,13,30,222,4,31
-28459,18,43,242,23,5
-28425,10,30,193,29,5
-28367,31,32,199,23,6
-28356,36,31,209,11,12
-28262,58,31,201,5,27
-28259,12,32,189,21,7
-28220,5,32,227,4,30
-28139,21,31,229,24,5
-28095,22,30,187,5,29
-28076,36,31,227,6,20
-28053,49,31,213,21,6
-27970,37,30,181,10,15
-27956,56,31,225,6,20
-27888,45,31,249,18,6
-27806,56,30,185,16,9
-27738,31,32,186,6,24
-27691,9,32,232,3,38
-27650,58,35,182,35,4
-27600,16,30,193,10,14
-27572,22,31,187,18,8
-27484,27,31,207,32,4
-27481,56,31,199,26,5
-27400,58,32,229,19,6
-27317,55,32,238,27,4
-27258,2,31,242,3,36
-27219,28,30,191,3,45
-27159,36,34,195,9,15
-27139,40,32,209,3,41
-27076,58,31,177,7,21
-26993,47,31,217,15,8
-26929,17,30,191,23,6
-26916,48,30,191,33,4
-26838,57,30,179,6,24
-26791,44,35,213,24,5
-26768,40,31,190,17,8
-26736,44,31,231,14,8
-26694,4,30,245,36,3
-26646,9,30,199,22,6
-26607,7,30,181,9,16
-26507,20,32,217,7,17
-26418,52,32,207,2,59
-26386,38,31,193,6,22
-26381,58,31,192,12,11
-26295,18,33,230,37,3
-26216,34,30,183,23,6
-26184,18,31,213,3,39
-26129,39,30,200,31,4
-26037,28,30,201,3,41
-26035,33,30,193,5,26
-25941,30,31,216,13,9
-25902,60,31,239,4,26
-25815,9,30,212,15,8
-25803,18,31,194,10,13
-25714,36,31,178,10,14
-25638,15,32,215,13,9
-25637,25,31,178,20,7
-25615,29,31,218,6,19
-25591,26,31,198,14,9
-25515,44,33,194,25,5
-25456,2,30,195,8,16
-25365,43,30,204,15,8
-25296,4,30,203,2,58
-25256,17,32,211,9,13
-25204,34,30,223,11,10
-25166,11,31,194,3,41
-25073,15,31,186,12,11
-24982,39,32,174,6,23
-24978,39,30,191,18,7
-24886,2,30,213,29,4
-24812,31,30,210,2,55
-24728,50,30,207,19,6
-24680,35,30,197,4,30
-24631,44,32,219,35,3
-24630,30,31,170,7,20
-24617,14,37,206,13,9
-24603,6,31,213,38,3
-24601,8,30,169,13,11
-24555,40,31,207,2,55
-24547,24,35,171,6,23
-24492,41,30,212,8,14
-24415,28,31,174,8,17
-24412,48,31,172,33,4
-24344,31,30,198,2,57
-24276,50,30,217,6,18
-24207,52,30,173,19,7
-24173,24,31,181,10,13
-24097,34,31,224,34,3
-24015,8,30,175,15,9
-23915,4,30,171,5,27
-23833,43,30,247,23,4
-23739,48,31,170,19,7
-23649,59,30,175,31,4
-23593,53,31,199,6,19
-23568,17,30,191,3,39
-23471,45,30,232,7,14
-23439,2,33,172,27,5
-23378,15,31,172,19,7
-23304,13,30,225,3,33
-23273,3,31,204,2,53
-23213,17,30,179,7,18
-23211,47,30,188,7,17
-23145,30,31,166,9,15
-23083,43,33,211,34,3
-22991,12,32,193,5,23
